k       lamda   x       y
1        0       0       375
2        1       1       375
3        0       750     376
4        750     2       378
5        377     188     94
6        378     6       361
7        248     667     180
8        351     121     712
9        580     582     15
10       131     57      419
11       93      331     384
12       177     207     536
13       418     285     655
14       528     629     206
15       500     39      402
16       174     197     644
17       638     556     120
18       579     490     544
19       477     237     728
20       518     731     222
21       646     531     557
22       6       256     342
23       701     742     677
24       634     180     408
25       238     139     338
26       124     217     504
27       274     510     322
28       343     734     199
29       673     93      120
30       506     603     164
31       382     378     172
32       69      628     602
33       47      79      418
34       685     522     282
35       289     389     605
36       323     302     460
37       147     279     668
38       246     157     55
39       218     54      620
40       686     416     380
41       269     600     441
42       293     386     679
43       172     660     257
44       612     637     301
45       27      92      145
46       373     102     631
47       459     299     568
48       184     513     610
49       425     623     704
50       414     296     245
51       644     639     408
52       744     161     1
53       21      280     504
54       325     205     590
55       56      678     709
56       16      329     369
57       630     43      322
58       383     201     746
59       28      583     574
60       647     470     441
61       406     648     138
62       170     465     181
63       216     380     155
64       118     26      312
65       142     612     588
66       247     317     181
67       305     335     337
68       242     402     722
69       339     367     629
70       191     66      537
71       139     480     495
72       188     318     672
73       674     354     598
74       304     440     294
75       121     683     343
76       133     484     590
77       663     501     155
78       91      270     589
79       240     254     247
80       443     735     705
81       261     547     299
82       74      423     616
83       345     695     170
84       178     198     429
85       683     671     193
86       359     540     274
87       182     291     735
88       489     12      516
89       575     173     33
90       736     52      405
91       145     696     90
92       210     597     423
93       185     584     480
94       557     253     643
95       476     272     76
96       587     339     398
97       308     650     693
98       153     229     636
99       375     710     731
100      724     19      138
101      699     432     310
102      165     508     668
103      552     41      274
104      602     381     69
105      354     269     527
106      330     487     380
107      714     131     717
108      123     729     78
109      389     392     341
110      180     466     608
111      376     473     515
112      194     364     354
113      361     34      118
114      633     372     714
115      225     687     507
116      702     212     250
117      591     605     297
118      196     261     288
119      250     657     595
120      493     570     240
121      731     581     731
122      422     267     352
123      284     32      300
124      115     426     201
125      465     262     208
126      329     586     589
127      290     153     315
128      515     720     570
129      454     373     9
130      597     62      161
131      45      461     659
132      605     578     652
133      337     341     362
134      599     233     495
135      513     86      567
136      369     144     561
137      721     5       526
138      631     126     476
139      722     715     83
140      175     621     596
141      524     591     104
142      748     169     132
143      43      178     232
144      265     204     388
145      151     67      22
146      331     599     371
147      336     398     326
148      632     245     242
149      729     239     377
150      44      195     57
151      241     59      426
152      370     159     124
153      603     717     601
154      656     47      335
155      111     258     276
156      183     187     701
157      66      414     88
158      607     45      97
159      628     64      738
160      698     492     167
161      24      84      613
162      128     529     254
163      464     732     180
164      366     297     569
165      208     160     140
166      22      324     7
167      379     627     59
168      51      472     336
169      307     653     422
170      421     103     571
171      505     333     435
172      352     407     553
173      554     101     747
174      487     503     241
175      479     634     94
176      548     21      133
177      60      575     422
178      4       192     359
179      438     147     576
180      78      680     657
181      197     579     465
182      113     174     240
183      556     301     493
184      447     493     48
185      10      358     551
186      462     553     230
187      179     697     279
188      419     632     671
189      48      170     477
190      301     311     640
191      25      314     36
192      207     479     355
193      232     24      65
194      300     607     18
195      112     672     212
196      658     467     249
197      725     209     553
198      565     592     91
199      715     704     186
200      20      447     448
201      689     393     710
202      341     234     188
203      272     152     337
204      563     646     162
205      517     38      256
206      570     430     102
207      57      566     407
208      353     128     252
209      310     595     672
210      648     251     695
211      480     343     205
212      63      622     242
213      100     366     575
214      58      745     724
215      67      740     362
216      206     391     187
217      109     225     634
218      138     44      312
219      357     486     355
220      411     211     20
221      550     387     59
222      397     263     354
223      611     562     201
224      740     310     31
225      590     77      6
226      122     538     77
227      220     549     507
228      386     500     383
229      739     395     610
230      609     243     336
231      176     693     70
